sokogo	David W. Skinner	1	{"xsb":"4#|# .#|#  3#|#*@  #|#  $ #|#  3#|4#"}	{"lurd":"dlUrrrdLullddrUluRuulDrddrruLdlUU"}
sokogo	David W. Skinner	2	{"xsb":"6#|#4 #|# #@ #|# $* #|# .* #|#4 #|6#"}	{"lurd":"rddLUruulDDuullddR"}
sokogo	David W. Skinner	3	{"xsb":"  4#|3#  4#|#5 $ #|# #  #$ #|# . .#@ #|9#"}	{"lurd":"ruuLLLulDrrrrddlUruLLLddllluurRDrdLuuurDD"}
sokogo	David W. Skinner	4	{"xsb":"8#|#6 #|# .**$@#|#6 #|5#  #|4 4#"}	{"lurd":"ullDLdRuurrdLLrrddlUruL"}
sokogo	David W. Skinner	5	{"xsb":" 7#| #5 #| # .$. #|## $@$ #|#  .$. #|#6 #|8#"}	{"lurd":"LulDuurrrdLrrddlUddlluRdllluR"}
sokogo	David W. Skinner	6	{"xsb":"6# 5#|#4 3#3 #|# $$5 #@#|# $ #3.3 #|#3 8#|5#"}	{"lurd":"dlllllululDulldRRRRRRdrrruullDurrddlLLLulllllddrUluRRRRRRdrrruullDurrddlLLulllllddrUluRRRRRdrrruullDurrddlL"}
sokogo	David W. Skinner	7	{"xsb":"7#|#5 #|# .$. #|# $.$ #|# .$. #|# $.$ #|#  @  #|7#"}	{"lurd":"rruuuLuulldRllddrUdRddrruLdllU"}
sokogo	David W. Skinner	8	{"xsb":"  6#|2 # ..@#|  # $$ #|  ## 3#|3 # #|3 # #|4# #|#4 ##|# #3 #|#3 # #|3#3 #|  5#"}	{"lurd":"llDDDDDDldddrruuLrddlluUruuuuuuurrdLulDDDDDDLdddrruuLrddllulluuRRDrUUUUUUluRdddddddrddllUUdlluurRdrUUUUUU"}
sokogo	David W. Skinner	9	{"xsb":"5#|#.  ##|#@$$ #|##3 #| ##  #|  ##.#|3 3#"}	{"lurd":"urrDulldRdRluurDrDDlUruLdlUruL"}
sokogo	David W. Skinner	10	{"xsb":"6 5#|6 #.  #|6 #.# #|7#.# #|# @ $ $ $ #|# # # # 3#|#7 #|9#"}	{"lurd":"rddrruuLLrrddrruuLLrruuurrdddLLddlluuRlddrruUUUddddlllluuRRRlddrruUUdddlllllluuRRRRRlddrruU"}
sokogo	David W. Skinner	100	{"xsb":"9#|3#3 3#|3# #$3#|#  .$.3#|# #$+$  #|#  .$ # #|3# #.  #|3#3 3#|9#"}	{"lurd":"RddrruuLLuLLuurrDDDrrddlldlluulluuRRRlllddrrUdddrrurruullDL"}
